yearID,teamID,W,L,R,RA,H,HR,BB,SO,Win
1894,BRO,70,61,1021,1007,1507,42,466,294.0,1
1894,BSN,83,49,1220,1002,1658,103,535,261.0,1
1894,CHN,57,75,1041,1066,1555,65,496,298.0,0
1894,CIN,55,75,910,1085,1374,61,508,252.0,0
1894,CL4,68,61,932,896,1442,37,471,301.0,1
1894,LS3,36,94,692,1001,1206,42,350,364.0,0
1894,NY1,88,44,940,789,1446,43,476,217.0,1
1894,PHI,71,57,1143,966,1732,40,496,245.0,1
1894,PIT,65,65,955,972,1458,48,434,208.0,0
1894,SLN,56,76,771,953,1320,54,442,289.0,0
1894,WAS,45,87,882,1122,1317,59,617,375.0,0
1895,BLN,87,43,1009,646,1530,25,355,243.0,1
1895,BRO,71,60,867,834,1330,39,397,318.0,1
1895,BSN,71,60,907,826,1369,54,500,236.0,1
1895,CHN,72,58,866,854,1401,55,422,344.0,1
1895,CIN,66,64,903,854,1395,36,414,249.0,1
1895,CL4,84,46,917,720,1423,29,472,361.0,1
1895,LS3,35,96,698,1090,1320,34,346,323.0,0
1895,NY1,66,65,852,834,1324,32,454,292.0,1
1895,PHI,78,53,1068,957,1664,61,463,262.0,1
1895,PIT,71,61,811,787,1349,26,376,299.0,1
1895,SLN,39,92,747,1032,1344,38,384,279.0,0
1895,WAS,43,85,837,1048,1314,55,518,396.0,0
1896,BLN,90,39,995,662,1548,23,386,201.0,1
1896,BRO,58,73,692,764,1292,28,344,269.0,0
1896,BSN,74,57,860,761,1416,36,414,274.0,1
1896,CHN,71,57,815,799,1311,34,409,290.0,1
1896,CIN,77,50,783,620,1283,20,382,226.0,1
1896,CL4,80,48,840,650,1463,28,436,316.0,1
1896,LS3,38,93,653,997,1197,37,371,427.0,0
1896,NY1,64,67,829,821,1383,40,439,271.0,0
1896,PHI,62,68,890,891,1382,49,438,297.0,0
1896,PIT,66,63,787,741,1371,27,387,286.0,1
1896,SLN,40,90,593,929,1162,37,332,300.0,0
1896,WAS,58,73,818,920,1328,45,516,365.0,0
1897,BLN,90,40,964,674,1584,19,437,256.0,1
1897,BRO,61,71,802,845,1343,24,351,255.0,0
1897,BSN,93,39,1025,665,1574,45,423,262.0,1
1897,CHN,59,73,832,894,1356,38,430,317.0,0
1897,CIN,76,56,763,705,1311,22,380,218.0,1
1897,CL4,69,62,773,680,1374,16,435,344.0,1
1897,LS3,52,78,669,859,1197,40,370,453.0,0
